Food and Serving,Calories,Calories from Fat,Total Fat (g),Sodium (g),Potassium (g),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Saturated Fat,Cholesterol (mg),Food Type
Sweet Cherries 21 cherries; 1 cup,100,0,0,0,350,26,1,16,1,2,15,2,2,0,0,Fruits Serving Size (gram weight/ounce weight)
"Tangerine, 1 medium (109 g/3.9 oz)",50,0,0,0,160,13,2,9,1,6,45,4,0,0,0,Fruits Serving Size (gram weight/ounce weight)
"Watermelon, 1/18 medium melon; 2 cups diced pieces(280 g/",80,0,0,0,270,21,1,20,1,30,25,2,4,0,0,Fruits Serving Size (gram weight/ounce weight)
Blue Crab,100,10,1,330,300,0,0,0,20,0,4,10,4,0,32,"Seafood, Serving Size (84 g/3 oz)"
Catfish,130,60,6,40,230,0,0,0,17,0,0,0,0,10,17,"Seafood, Serving Size (84 g/3 oz)"
"Clams, about 12 small",110,15,1.5,95,470,6,0,0,17,10,0,8,30,0,27,"Seafood, Serving Size (84 g/3 oz)"
Cod,90,5,1,65,460,0,0,0,20,0,2,2,2,0,17,"Seafood, Serving Size (84 g/3 oz)"
Flounder/Sole,100,15,1.5,100,390,0,0,0,19,0,0,2,0,0,18,"Seafood, Serving Size (84 g/3 oz)"
Haddock,100,10,1,85,340,0,0,0,21,2,0,2,6,0,23,"Seafood, Serving Size (84 g/3 oz)"
Halibut,120,15,2,60,500,0,0,0,23,4,0,2,6,0,13,"Seafood, Serving Size (84 g/3 oz)"
Lobster,80,0,0.5,320,300,1,0,0,17,2,0,6,2,0,20,"Seafood, Serving Size (84 g/3 oz)"
Ocean Perch,110,20,2,95,290,0,0,0,21,0,2,10,4,3,15,"Seafood, Serving Size (84 g/3 oz)"
Orange Roughy,80,5,1,70,340,0,0,0,16,2,0,4,2,0,7,"Seafood, Serving Size (84 g/3 oz)"
"Oysters, about 12 medium",100,35,4,300,220,6,0,0,10,0,6,6,45,5,27,"Seafood, Serving Size (84 g/3 oz)"
Pollock,90,10,1,110,370,0,0,0,20,2,0,0,2,0,27,"Seafood, Serving Size (84 g/3 oz)"
Rainbow Trout,140,50,6,35,370,0,0,0,20,4,4,8,2,10,18,"Seafood, Serving Size (84 g/3 oz)"
Rockfish,110,15,2,70,440,0,0,0,21,4,0,2,2,0,13,"Seafood, Serving Size (84 g/3 oz)"
"Salmon, Atlantic/Coho/Sockeye /Chinook",200,90,10,55,430,0,0,0,24,4,4,2,2,10,23,"Seafood, Serving Size (84 g/3 oz)"
"Salmon, Chum/Pink",130,40,4,65,420,0,0,0,22,2,0,2,4,5,23,"Seafood, Serving Size (84 g/3 oz)"
"Scallops, about 6 large or 14 small",140,10,1,310,430,5,0,0,27,2,0,4,14,0,22,"Seafood, Serving Size (84 g/3 oz)"
Shrimp,100,10,1.5,240,220,0,0,0,21,4,4,6,10,0,57,"Seafood, Serving Size (84 g/3 oz)"
Swordfish,120,50,6,100,310,0,0,0,16,2,2,0,6,8,13,"Seafood, Serving Size (84 g/3 oz)"
Tilapia,110,20,2.5,30,360,0,0,0,22,0,2,0,2,5,25,"Seafood, Serving Size (84 g/3 oz)"
Tuna,130,15,1.5,40,480,0,0,0,26,2,2,2,4,0,17,"Seafood, Serving Size (84 g/3 oz)"
