Calories,Calories from Fat,Total Fat (g),Sodium (g),Potassium (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Cholesterol (mg),pc1,pc2,Food,Type
-0.5202067397691279,-0.5376760361637393,-0.5623389603857839,-0.4085982937219125,-0.37353641617464345,-0.2566324512873682,0.9316323754041398,-0.7211674831556363,3.680129956707567,0.9040214528173066,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-2.017479135655979,-0.44770303595512034,Cantaloupe,Fruits
-0.2894241133988239,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-1.042475025691069,0.48882371673784436,0.9316323754041398,-0.7211674831556363,0.7946810189291404,1.2795427917472058,0.5446162541409969,-0.5698782711106642,-0.6314966801351254,-2.1165851793037547,-0.32639689158154767,Grapefruit,Fruits
0.40292376571208827,-0.5376760361637393,-0.5623389603857839,-0.46983784142961926,-0.37353641617464345,-0.2566324512873682,2.3139733864767686,-0.829520233087887,-0.3934450142737411,-0.5605117690093003,-0.30721942541287,-0.5698782711106642,-0.6314966801351254,-1.5232821112622184,0.7537428676656144,Grapes,Fruits
-0.5202067397691279,-0.5376760361637393,-0.5623389603857839,-0.2861191983064989,-0.624388394743303,-0.2566324512873682,0.9316323754041398,-0.7211674831556363,-0.3255520980907193,0.24685910968998293,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.5222395065222398,-0.000225887896783073,Honeydew Melon 1/10 medium melon  (134 g/4.8 oz),Fruits
0.40292376571208827,0.037731651660613326,-0.04650923732514002,-0.6535564845527396,1.3824274338059737,1.9797360527882693,1.2388192667536129,-0.7211674831556363,-0.3255520980907193,3.9081921642565,0.5446162541409969,-0.2740265729170428,-0.6314966801351254,-1.8809107053060639,0.3153442373357592,Kiwifruit,Fruits
-1.327945932065192,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-1.7532222983022712,0.48882371673784436,-0.45070863566848923,-0.829520233087887,-0.3934450142737411,0.1529787749575081,-0.30721942541287,-0.5698782711106642,-0.6314966801351254,-2.0951596582137375,-0.19670873692433122,Lemon,Fruits
-1.21255461888004,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-1.7532222983022712,0.48882371673784436,-0.7578955270179624,-0.829520233087887,-0.3934450142737411,0.059098440225033314,-1.159055104966737,-0.5698782711106642,-0.6314966801351254,-2.086810580238404,0.21363977412420157,Lime,Fruits
-0.2894241133988239,-0.24997219225156297,-0.30442409885546196,-0.6535564845527396,-0.28991908998509025,0.48882371673784436,0.9316323754041398,-0.7211674831556363,-0.12187334954165388,-0.3164228987048659,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,-1.5834161839499044,0.9464754738224017,Nectarine,Fruits
0.1721411393417842,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.28991908998509025,1.234279884763057,1.3924127124283494,-0.7211674831556363,-0.3255520980907193,1.8428248001420546,1.3964519336948638,-0.5698782711106642,-0.6314966801351254,-2.0290073391272396,-0.39212787511289465,Orange,Fruits
-0.2894241133988239,-0.5376760361637393,-0.30442409885546196,-0.6535564845527396,-0.45715374236419665,0.48882371673784436,1.2388192667536129,-0.7211674831556363,-0.1897662657246757,-0.3164228987048659,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,-1.7814489575209516,0.8786925958126224,Peach,Fruits
0.6337063920823923,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.7916230471224094,3.4706483888386943,1.6995996037778225,-0.7211674831556363,-0.3934450142737411,-0.4103032334373407,-0.30721942541287,-0.5698782711106642,-0.6314966801351254,-2.605774710801431,0.9267900245756555,Pear,Fruits
-0.5202067397691279,-0.5376760361637393,-0.5623389603857839,-0.531077389137326,-1.3769443304492817,-0.2566324512873682,0.7780389297294033,-0.7211674831556363,-0.3255520980907193,0.34073944442245774,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.7349754211913355,0.013482769011846066,Pineapple,Fruits
-0.058641487028519845,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.45715374236419665,0.48882371673784436,1.6995996037778225,-0.7211674831556363,-0.12187334954165388,-0.4103032334373407,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,-1.8962218015410464,0.9156569669195554,Plums,Fruits
-0.5202067397691279,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.9588576995015158,0.48882371673784436,0.4708520383799301,-0.7211674831556363,-0.3934450142737411,2.406106808536903,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-2.2069526069106287,-0.1271440776335307,Strawberries,Fruits
0.6337063920823923,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,0.5462541719104417,-0.2566324512873682,1.6995996037778225,-0.7211674831556363,-0.3255520980907193,-0.3164228987048659,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.0992900896595776,0.73652579440367,Sweet Cherries 21 cherries; 1 cup,Fruits
-0.5202067397691279,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-1.042475025691069,0.48882371673784436,0.6244454840546667,-0.7211674831556363,-0.1897662657246757,0.24685910968998293,0.5446162541409969,-0.5698782711106642,-0.6314966801351254,-1.8274274175090723,-0.21143735402840028,Tangerine,Fruits
0.1721411393417842,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.12268443760598388,-0.2566324512873682,2.3139733864767686,-0.7211674831556363,0.624948728471586,-0.1286622292399163,-0.30721942541287,0.021825125276578622,-0.6314966801351254,-1.6135383018025051,0.42482729820479054,Watermelon,Fruits
0.6337063920823923,0.037731651660613326,-0.04650923732514002,3.3882536641559082,0.1281675409626757,-1.0020886193125809,-0.7578955270179624,1.3375347655571284,-0.3934450142737411,-0.5229596351163105,3.1001232928025977,0.021825125276578622,2.0836608520758104,3.6075556466505194,-3.21810990321803,Blue Crab,Seafood
1.3260542711933045,2.914770090782376,2.5326393779780796,-0.16364010289108533,-0.45715374236419665,-1.0020886193125809,-0.7578955270179624,1.0124765157603761,-0.3934450142737411,-0.5980639029022903,-1.159055104966737,-0.5698782711106642,0.8109307588519342,3.0978638896696897,3.0524250978123018,Catfish,Seafood
